CID,IsomericSMILES,Descriptors,MolecularWeight,Descriptor Count,alcohol,animal,aquatic,earthy,flower,fruity,green,herbal,savory,spices,woody
49,CC(C)C(=O)C(=O)O,['fruity'],116.047344116,1,0,0,0,0,0,1,0,0,0,0,0
70,CC(C)CC(=O)C(=O)O,['fruity'],130.06299418,1,0,0,0,0,0,1,0,0,0,0,0
98,C(C(=O)C(=O)O)S,['savory'],119.988114988,1,0,0,0,0,0,0,0,0,1,0,0
107,C1=CC=C(C=C1)CCC(=O)O,"['savory', 'spices', 'flower', 'animal']",150.06807956,4,0,1,0,0,1,0,0,0,1,1,0
119,C(CC(=O)O)CN,['savory'],103.063328528,1,0,0,0,0,0,0,0,0,1,0,0
125,C1=CC(=CC=C1CO)O,"['savory', 'fruity']",124.052429496,2,0,0,0,0,0,1,0,0,1,0,0
126,C1=CC(=CC=C1C=O)O,"['savory', 'aquatic', 'herbal']",122.036779432,3,0,0,1,0,0,0,0,1,1,0,0
135,C1=CC(=CC=C1C(=O)O)O,['savory'],138.031694052,1,0,0,0,0,0,0,0,0,1,0,0
174,C(CO)O,['animal'],62.036779432,1,0,1,0,0,0,0,0,0,0,0,0
176,CC(=O)O,['savory'],60.021129368,1,0,0,0,0,0,0,0,0,1,0,0
177,CC=O,"['animal', 'aquatic', 'alcohol', 'savory', 'fruity']",44.026214748,5,1,1,1,0,0,1,0,0,1,0,0
179,CC(C(=O)C)O,"['savory', 'fruity']",88.052429496,2,0,0,0,0,0,1,0,0,1,0,0
180,CC(=O)C,"['fruity', 'aquatic']",58.041864812,2,0,0,1,0,0,1,0,0,0,0,0
196,C(CCC(=O)O)CC(=O)O,['herbal'],146.0579088,1,0,0,0,0,0,0,0,1,0,0,0
240,C1=CC=C(C=C1)C=O,"['savory', 'fruity']",106.041864812,2,0,0,0,0,0,1,0,0,1,0,0
241,C1=CC=CC=C1,['savory'],78.046950192,1,0,0,0,0,0,0,0,0,1,0,0
243,C1=CC=C(C=C1)C(=O)O,"['savory', 'herbal']",122.036779432,2,0,0,0,0,0,0,0,1,1,0,0
244,C1=CC=C(C=C1)CO,"['savory', 'fruity', 'flower']",108.057514876,3,0,0,0,0,1,1,0,0,1,0,0
263,CCCCO,"['savory', 'fruity', 'alcohol']",74.07316494,3,1,0,0,0,0,1,0,0,1,0,0
264,CCCC(=O)O,"['savory', 'fruity']",88.052429496,2,0,0,0,0,0,1,0,0,1,0,0
284,C(=O)O,"['savory', 'fruity']",46.005479304,2,0,0,0,0,0,1,0,0,1,0,0
289,C1=CC=C(C(=C1)O)O,['savory'],110.036779432,1,0,0,0,0,0,0,0,0,1,0,0
308,C1=CC=C(C=C1)C=CCO,"['savory', 'spices', 'flower', 'green']",134.07316494,4,0,0,0,0,1,0,1,0,1,1,0
309,C(C(=CC(=O)O)C(=O)O)C(=O)O,"['savory', 'animal']",174.016437912,2,0,1,0,0,0,0,0,0,1,0,0
323,C1=CC=C2C(=C1)C=CC(=O)O2,"['savory', 'herbal', 'green']",146.036779432,3,0,0,0,0,0,0,1,1,1,0,0
