CID,IsomericSMILES,Descriptors,MolecularWeight,Descriptor Count
107,C1=CC=C(C=C1)CCC(=O)O,balsamic;vanilla,150.06807956,2
126,C1=CC(=CC=C1C=O)O,wood;balsamic,122.036779432,2
174,C(CO)O,musk,62.036779432,1
176,CC(=O)O,sour,60.021129368000004,1
177,CC=O,ether;wine,44.026214748,2
179,CC(C(=O)C)O,buttery;fat;cream,88.052429496,3
180,CC(=O)C,ether,58.041864812,1
240,C1=CC=C(C=C1)C=O,almond,106.041864812,1
241,C1=CC=CC=C1,gasoline,78.046950192,1
261,CCCC=O,banana;green;fruit,72.057514876,3
263,CCCCO,wine,74.07316494,1
264,CCCC(=O)O,sour,88.052429496,1
323,C1=CC=C2C(=C1)C=CC(=O)O2,tobacco;hay;herb;spice;nut,146.036779432,5
325,CC(C)C1=CC=C(C=C1)CO,oil;spice,150.104465068,2
326,CC(C)C1=CC=C(C=C1)C=O,herb;animal;spice;green,148.088815004,4
332,COC1=C(C=CC(=C1)C=C)O,tarry;spice,150.06807956,2
332,COC1=C(C=CC(=C1)C=C)O,wood;balsamic;spice,150.06807956,3
335,CC1=CC=CC=C1O,floral;rose;musk,108.057514876,3
342,CC1=CC(=CC=C1)O,tarry;phenol;medicine;leather,108.057514876,4
379,CCCCCCCC(=O)O,oil,144.115029752,1
454,CCCCCCCC=O,fat;honey;orange,128.120115132,3
460,COC1=CC=CC=C1O,smoky;phenol;medicine,124.052429496,3
525,C(C(C(=O)O)O)C(=O)O,caramel,134.021523292,1
568,C1=CC=C2C(=C1)C3=CC=CC=C3O2,tarry;floral;medicine,168.057514876,3
650,CC(=O)C(=O)C,buttery;oil,86.036779432,2
660,C1CC(=O)OC2=CC=CC=C21,herb;tobacco;nut;hay,148.052429496,4
702,CCO,ether,46.041864812,1
768,C#N,wood;almond,27.010899031999998,2
785,C1=CC(=CC=C1O)O,phenol,110.036779432,1
798,C1=CC=C2C(=C1)C=CN2,tarry;floral,117.057849224,2
887,CO,ether;gasoline,32.026214748,2
931,C1=CC=C2C=CC=CC2=C1,tarry,128.062600256,1
957,CCCCCCCCO,balsamic;wax;rose;orange,130.135765196,4
980,C1=CC(=CC=C1[N+](=O)[O-])O,tarry;phenol;medicine,139.02694302,3
984,CCCCCCCCCCCCCCCC=O,peach;floral;orris;wax,240.24531564400002,4
998,C1=CC=C(C=C1)CC=O,floral;hyacinth;green,120.057514876,3
999,C1=CC=C(C=C1)CC(=O)O,animal;honey,136.052429496,2
1032,CCC(=O)O,buttery;sour,74.036779432,2
1049,C1=CC=NC=C1,smoky,79.04219916,1
1060,CC(=O)C(=O)O,sour,88.016043988,1
1068,CSC,green,62.019021192,1
1133,C(C(=O)O)S,sour,91.993200368,1
1183,COC1=C(C=CC(=C1)C=O)O,vanilla;cream,152.047344116,2
1254,CC1CCC(C(C1)O)C(C)C,wood,156.15141526,1
2214,CC(=O)C1=CC(=C(C=C1)O)OC,spice;vanilla,166.06299418,2
2345,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,floral;balsamic,212.083729624,2
2346,C1=CC=C(C=C1)CN=C=S,herb;green,149.029920224,2
2537,CC1(C2CCC1(C(=O)C2)C)C,ether;mint,152.120115132,2
2682,CCCCCCCCCCCCCCCCO,oil,242.26096570800001,1
2758,CC1(C2CCC(O1)(CC2)C)C,camphor,154.135765196,1
2879,CC1=CC=C(C=C1)O,phenol;leather;tarry;smoky;floral;medicine,108.057514876,6
2879,CC1=CC=C(C=C1)O,green;leaf;balsamic;rose,108.057514876,4
2969,CCCCCCCCCC(=O)O,sour;fat,172.14632988,2
3102,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,geranium;powdery;rose;metal,182.07316494,4
3283,CCOCC,ether,74.07316494,1
3314,COC1=C(C=CC(=C1)CC=C)O,wood;peppery;spice,164.083729624,3
3327,CC(=CCCC(=CCCC(=CCO)C)C)C,floral;oil;green,222.198365452,3
3338,CCCCC(C1=CC=CC=C1)O,orris;wood;floral;green,164.120115132,4
3338,CCCCC(C1=CC=CC=C1)O,citrus;herb,164.120115132,2
3776,CC(C)O,ether,60.057514876,1
3893,CCCCCCCCCCCC(=O)O,wax;fat,200.177630008,2
4133,COC(=O)C1=CC=CC=C1O,root;fruit,152.047344116,2
4276,COC1=CC(=CC2=C1OCO2)CC=C,wood;balsamic,192.078644244,2
4650,C1=CC(=O)C=CC1=O,buttery,108.021129368,1
4650,C1=CC(=O)C=CC1=O,medicine,108.021129368,1
4947,CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,medicine,212.068473484,1
5144,C=CCC1=CC2=C(C=C1)OCO2,wood;floral;spice,162.06807956,3
5192,C(CCCCC(=O)O)CCCC(=O)O,fat,202.120509056,1
5541,CC(=O)OCC(COC(=O)C)OC(=O)C,ether;fruit,218.079038168,2
5634,C=CCCCCCCCCC(=O)O,acid;sour;fruit;oil;fat,184.14632988,5
6050,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,cream;buttery;fruit,302.172938552,3
6054,C1=CC=C(C=C1)CCO,green;earthy;gasoline;hyacinth;honey;rose,122.07316494,6
6184,CCCCCC=O,green;apple;fruit;plum;buttery;fat,100.088815004,6
6342,CC#N,almond,41.026549096,1
6348,C(=S)=S,herb;sulfur;ether;green,75.944142,4
6354,C1CO1,ether,44.026214748,1
6386,CC(C)(C)O,camphor;mint,74.07316494,2
6405,CCC(C)(C)O,camphor;mint,88.088815004,2
6416,CC(=O)C(C)(C)C,camphor;ether;mint,100.088815004,3
6425,CC(C)(C(C)(C)O)O,honey;aromatic,118.099379688,2
6448,CC(=O)OC1CC2CCC1(C2(C)C)C,herb;pine;balsamic,196.14632988,3
6482,C[C@@H]1CC[C@@H]2C13CCC(C(C3)C2(C)C)(C)OC(=O)C,wood;green,264.208930136,2
6495,CC(C)(OC)OC,ether,104.083729624,1
6501,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,berry;fruit,206.094294308,2
