CID,IsomericSMILES,Descriptors,MolecularWeight,Descriptor Count
49,CC(C)C(=O)C(=O)O,fruity,116.047344116,1
58,CCC(=O)C(=O)O,savory,102.031694052,1
70,CC(C)CC(=O)C(=O)O,fruity,130.06299418,1
98,C(C(=O)C(=O)O)S,savory,119.988114988,1
107,C1=CC=C(C=C1)CCC(=O)O,savory;spices;animal;flower,150.06807956,4
119,C(CC(=O)O)CN,savory,103.063328528,1
125,C1=CC(=CC=C1CO)O,savory;fruity,124.052429496,2
126,C1=CC(=CC=C1C=O)O,savory;aquatic;herbal,122.036779432,3
129,CC(C)CCC=O,savory;herbal;fruity,100.088815004,3
135,C1=CC(=CC=C1C(=O)O)O,savory,138.031694052,1
174,C(CO)O,animal,62.036779432,1
176,CC(=O)O,savory,60.021129368,1
177,CC=O,alcohol;savory;animal;aquatic;fruity,44.026214748,5
179,CC(C(=O)C)O,savory;fruity,88.052429496,2
180,CC(=O)C,aquatic;fruity,58.041864812,2
196,C(CCC(=O)O)CC(=O)O,herbal,146.0579088,1
240,C1=CC=C(C=C1)C=O,savory;fruity,106.041864812,2
241,C1=CC=CC=C1,savory,78.046950192,1
243,C1=CC=C(C=C1)C(=O)O,savory;herbal,122.036779432,2
244,C1=CC=C(C=C1)CO,savory;fruity;flower,108.057514876,3
261,CCCC=O,savory;animal;fruity;green,72.057514876,4
262,CC(C(C)O)O,savory;fruity,90.06807956,2
263,CCCCO,alcohol;savory;fruity,74.07316494,3
264,CCCC(=O)O,savory;fruity,88.052429496,2
284,C(=O)O,savory;fruity,46.005479304,2
289,C1=CC=C(C(=C1)O)O,savory,110.036779432,1
307,C1=CC=C(C=C1)C=CC=O,savory;spices,132.057514876,2
308,C1=CC=C(C=C1)C=CCO,savory;flower;spices;green,134.07316494,4
309,C(C(=CC(=O)O)C(=O)O)C(=O)O,savory;animal,174.016437912,2
323,C1=CC=C2C(=C1)C=CC(=O)O2,savory;herbal;green,146.036779432,3
325,CC(C)C1=CC=C(C=C1)CO,herbal,150.104465068,1
326,CC(C)C1=CC=C(C=C1)C=O,savory;herbal;animal;green,148.088815004,4
332,COC1=C(C=CC(=C1)C=C)O,savory;spices,150.06807956,2
335,CC1=CC=CC=C1O,herbal;animal;flower,108.057514876,3
338,C1=CC=C(C(=C1)C(=O)O)O,savory,138.031694052,1
379,CCCCCCCC(=O)O,savory;animal;fruity,144.115029752,3
402,S,savory,33.987721064,1
441,CC(CC(=O)O)O,savory;fruity,104.047344116,2
454,CCCCCCCC=O,savory;aquatic;herbal;fruity;green,128.120115132,5
460,COC1=CC=CC=C1O,savory,124.052429496,1
473,CSCCC(=O)C(=O)O,savory,148.019415116,1
525,C(C(C(=O)O)O)C(=O)O,savory,134.021523292,1
527,CCC=O,alcohol;savory;aquatic;earthy;fruity;green,58.041864812,6
563,CSCCC(=O)O,savory;fruity;green,120.024500496,3
568,C1=CC=C2C(=C1)C3=CC=CC=C3O2,flower,168.057514876,1
612,CC(C(=O)O)O,savory,90.031694052,1
650,CC(=O)C(=O)C,savory,86.036779432,1
660,C1CC(=O)OC2=CC=CC=C21,savory;spices;herbal;fruity,148.052429496,4
670,C(C(=O)CO)O,herbal;fruity,90.031694052,2
679,CS(=O)C,savory,78.013935812,1
701,CCOC(=O)C(C)C(=O)C,alcohol;fruity;green,144.078644244,3
702,CCO,alcohol;aquatic,46.041864812,2
768,C#N,savory,27.010899032,1
784,OO,aquatic,34.005479304,1
798,C1=CC=C2C(=C1)C=CN2,savory;animal;flower,117.057849224,3
875,C(C(C(=O)O)O)(C(=O)O)O,savory,150.016437912,1
876,CSCCC(C(=O)O)N,savory,149.051049592,1
878,CS,savory,48.003371128,1
880,CC(=O)C=O,alcohol;savory;aquatic,72.021129368,3
887,CO,alcohol;aquatic,32.026214748,2
931,C1=CC=C2C=CC=CC2=C1,herbal,128.062600256,1
957,CCCCCCCCO,savory;green;aquatic;fruity;flower,130.135765196,5
964,C(C(=O)C(=O)O)O,savory;green,104.010958608,2
984,CCCCCCCCCCCCCCCC=O,fruity;flower,240.245315644,2
985,CCCCCCCCCCCCCCCC(=O)O,green,256.240230264,1
989,CC1(COC(=O)C1O)C,savory,130.06299418,1
994,C1=CC=C(C=C1)CC(C(=O)O)N,savory,165.078978592,1
997,C1=CC=C(C=C1)CC(=O)C(=O)O,savory;green,164.047344116,2
998,C1=CC=C(C=C1)CC=O,savory;green;earthy;fruity;flower,120.057514876,5
999,C1=CC=C(C=C1)CC(=O)O,savory;herbal;animal;flower,136.052429496,4
1031,CCCO,alcohol;savory;animal;fruity,60.057514876,4
1032,CCC(=O)O,savory,74.036779432,1
1045,C(CCN)CN,animal,88.10004838399999,1
1049,C1=CC=NC=C1,savory,79.04219916,1
1060,CC(=O)C(=O)O,savory,88.016043988,1
1068,CSC,savory;fruity;green,62.019021192,3
1103,C(CCNCCCN)CNCCCN,herbal;fruity,202.215746832,2
1115,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,savory,342.11621152399994,1
1127,C1CCSC1,savory,88.034671256,1
1133,C(C(=O)O)S,savory,91.993200368,1
1136,CC1=C(SC=N1)CCO,savory,143.040484908,1
1146,CN(C)C,savory;fruity,59.073499288,2
1183,COC1=C(C=CC(=C1)C=O)O,savory,152.047344116,1
1213,CC1CCCC2(C1(CCCC2)O)C,aquatic;fruity;earthy,182.167065324,3
1254,CC1CCC(C(C1)O)C(C)C,aquatic;herbal;animal,156.15141526,3
1567,C(CS)O,savory,78.013935812,1
2214,CC(=O)C1=CC(=C(C=C1)O)OC,savory,166.06299418,1
2345,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,herbal;fruity;flower,212.083729624,3
2346,C1=CC=C(C=C1)CN=C=S,savory;herbal;green,149.029920224,3
2537,CC1(C2CCC1(C(=O)C2)C)C,aquatic;herbal;green,152.120115132,3
2682,CCCCCCCCCCCCCCCCO,fruity;flower,242.260965708,2
2758,CC1(C2CCC(O1)(CC2)C)C,aquatic;herbal,154.135765196,2
2879,CC1=CC=C(C=C1)O,savory;green;animal;flower,108.057514876,4
2969,CCCCCCCCCC(=O)O,savory;fruity,172.14632988,2
3080,C(C(CS)S)O,savory,124.001656876,1
3102,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,aquatic;herbal;flower,182.07316494,3
3283,CCOCC,aquatic,74.07316494,1
3314,COC1=C(C=CC(=C1)CC=C)O,savory;spices;flower,164.083729624,3
3327,CC(=CCCC(=CCCC(=CCO)C)C)C,flower;aquatic;green,222.198365452,3
3338,CCCCC(C1=CC=CC=C1)O,flower;herbal;fruity;green,164.120115132,4
3485,C(CC=O)CC=O,fruity;green,100.052429496,2
3611,CC(C)C1=CC(=O)C(=CC=C1)O,green,164.083729624,1
3776,CC(C)O,alcohol;aquatic;animal,60.057514876,3
3893,CCCCCCCCCCCC(=O)O,aquatic;fruity;flower,200.177630008,3
4004,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,savory,330.036066958,1
4133,COC(=O)C1=CC=CC=C1O,herbal;fruity;earthy,152.047344116,3
4458,CC(=CCCC(=CCO)C)C,flower,154.135765196,1
4650,C1=CC(=O)C=CC1=O,savory,108.021129368,1
4775,C1=CC=C(C=C1)CCCC(=O)O,savory;flower,164.083729624,2
5054,C1=CC(=CC(=C1)O)O,savory;animal;fruity,110.036779432,3
5144,C=CCC1=CC2=C(C=C1)OCO2,spices;flower,162.06807956,2
5146,C1=CC=C(C(=C1)CO)O,fruity,124.052429496,1
5541,CC(=O)OCC(COC(=O)C)OC(=O)C,savory;aquatic;fruity,218.079038168,3
5610,C1=CC(=CC=C1CCN)O,savory;fruity,137.084063972,2
5634,C=CCCCCCCCCC(=O)O,savory;fruity,184.14632988,2
5862,C([C@@H](C(=O)O)N)S,savory,121.019749464,1
5961,C(CC(=O)N)[C@@H](C(=O)O)N,savory,146.06914218,1
5971,C=CCN=C=S,savory,99.01427016,1
5988,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,savory,342.11621152399994,1
6027,C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,savory,150.05282342,1
6050,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,savory;fruity,302.172938552,2
6054,C1=CC=C(C=C1)CCO,savory;aquatic;earthy;flower;green,122.07316494,5
6137,CSCC[C@@H](C(=O)O)N,savory,149.051049592,1
6140,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,savory,165.078978592,1
6184,CCCCCC=O,savory;aquatic;fruity;green,100.088815004,4
6213,CS(=O)(=O)C,savory,94.008850432,1
6255,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,savory;fruity,342.11621152399994,2
