CID,IsomericSMILES,Descriptors,MolecularWeight,Descriptor Count,alcohol,animal,aquatic,earthy,flower,fruity,green,herbal,savory,spices,woody
49,CC(C)C(=O)C(=O)O,['fruity'],116.047344116,1,0,0,0,0,0,1,0,0,0,0,0
58,CCC(=O)C(=O)O,['savory'],102.031694052,1,0,0,0,0,0,0,0,0,1,0,0
70,CC(C)CC(=O)C(=O)O,['fruity'],130.06299418,1,0,0,0,0,0,1,0,0,0,0,0
98,C(C(=O)C(=O)O)S,['savory'],119.988114988,1,0,0,0,0,0,0,0,0,1,0,0
107,C1=CC=C(C=C1)CCC(=O)O,"['savory', 'spices', 'animal', 'flower']",150.06807956,4,0,1,0,0,1,0,0,0,1,1,0
119,C(CC(=O)O)CN,['savory'],103.063328528,1,0,0,0,0,0,0,0,0,1,0,0
125,C1=CC(=CC=C1CO)O,"['savory', 'fruity']",124.052429496,2,0,0,0,0,0,1,0,0,1,0,0
126,C1=CC(=CC=C1C=O)O,"['savory', 'aquatic', 'herbal']",122.036779432,3,0,0,1,0,0,0,0,1,1,0,0
129,CC(C)CCC=O,"['savory', 'fruity', 'herbal']",100.088815004,3,0,0,0,0,0,1,0,1,1,0,0
135,C1=CC(=CC=C1C(=O)O)O,['savory'],138.031694052,1,0,0,0,0,0,0,0,0,1,0,0
174,C(CO)O,['animal'],62.036779432,1,0,1,0,0,0,0,0,0,0,0,0
176,CC(=O)O,['savory'],60.021129368,1,0,0,0,0,0,0,0,0,1,0,0
177,CC=O,"['aquatic', 'animal', 'fruity', 'alcohol', 'savory']",44.026214748,5,1,1,1,0,0,1,0,0,1,0,0
179,CC(C(=O)C)O,"['savory', 'fruity']",88.052429496,2,0,0,0,0,0,1,0,0,1,0,0
180,CC(=O)C,"['aquatic', 'fruity']",58.041864812,2,0,0,1,0,0,1,0,0,0,0,0
196,C(CCC(=O)O)CC(=O)O,['herbal'],146.0579088,1,0,0,0,0,0,0,0,1,0,0,0
240,C1=CC=C(C=C1)C=O,"['savory', 'fruity']",106.041864812,2,0,0,0,0,0,1,0,0,1,0,0
241,C1=CC=CC=C1,['savory'],78.046950192,1,0,0,0,0,0,0,0,0,1,0,0
243,C1=CC=C(C=C1)C(=O)O,"['savory', 'herbal']",122.036779432,2,0,0,0,0,0,0,0,1,1,0,0
244,C1=CC=C(C=C1)CO,"['savory', 'fruity', 'flower']",108.057514876,3,0,0,0,0,1,1,0,0,1,0,0
261,CCCC=O,"['animal', 'savory', 'green', 'fruity']",72.057514876,4,0,1,0,0,0,1,1,0,1,0,0
262,CC(C(C)O)O,"['savory', 'fruity']",90.06807956,2,0,0,0,0,0,1,0,0,1,0,0
263,CCCCO,"['savory', 'fruity', 'alcohol']",74.07316494,3,1,0,0,0,0,1,0,0,1,0,0
264,CCCC(=O)O,"['savory', 'fruity']",88.052429496,2,0,0,0,0,0,1,0,0,1,0,0
284,C(=O)O,"['savory', 'fruity']",46.005479304,2,0,0,0,0,0,1,0,0,1,0,0
289,C1=CC=C(C(=C1)O)O,['savory'],110.036779432,1,0,0,0,0,0,0,0,0,1,0,0
307,C1=CC=C(C=C1)C=CC=O,"['savory', 'spices']",132.057514876,2,0,0,0,0,0,0,0,0,1,1,0
308,C1=CC=C(C=C1)C=CCO,"['savory', 'green', 'spices', 'flower']",134.07316494,4,0,0,0,0,1,0,1,0,1,1,0
309,C(C(=CC(=O)O)C(=O)O)C(=O)O,"['savory', 'animal']",174.016437912,2,0,1,0,0,0,0,0,0,1,0,0
323,C1=CC=C2C(=C1)C=CC(=O)O2,"['savory', 'green', 'herbal']",146.036779432,3,0,0,0,0,0,0,1,1,1,0,0
325,CC(C)C1=CC=C(C=C1)CO,['herbal'],150.104465068,1,0,0,0,0,0,0,0,1,0,0,0
326,CC(C)C1=CC=C(C=C1)C=O,"['savory', 'green', 'animal', 'herbal']",148.088815004,4,0,1,0,0,0,0,1,1,1,0,0
332,COC1=C(C=CC(=C1)C=C)O,"['savory', 'spices']",150.06807956,2,0,0,0,0,0,0,0,0,1,1,0
335,CC1=CC=CC=C1O,"['animal', 'herbal', 'flower']",108.057514876,3,0,1,0,0,1,0,0,1,0,0,0
338,C1=CC=C(C(=C1)C(=O)O)O,['savory'],138.031694052,1,0,0,0,0,0,0,0,0,1,0,0
379,CCCCCCCC(=O)O,"['savory', 'animal', 'fruity']",144.115029752,3,0,1,0,0,0,1,0,0,1,0,0
402,S,['savory'],33.987721064,1,0,0,0,0,0,0,0,0,1,0,0
441,CC(CC(=O)O)O,"['savory', 'fruity']",104.047344116,2,0,0,0,0,0,1,0,0,1,0,0
454,CCCCCCCC=O,"['aquatic', 'fruity', 'herbal', 'green', 'savory']",128.120115132,5,0,0,1,0,0,1,1,1,1,0,0
460,COC1=CC=CC=C1O,['savory'],124.052429496,1,0,0,0,0,0,0,0,0,1,0,0
473,CSCCC(=O)C(=O)O,['savory'],148.019415116,1,0,0,0,0,0,0,0,0,1,0,0
525,C(C(C(=O)O)O)C(=O)O,['savory'],134.021523292,1,0,0,0,0,0,0,0,0,1,0,0
527,CCC=O,"['earthy', 'aquatic', 'fruity', 'alcohol', 'savory', 'green']",58.041864812,6,1,0,1,1,0,1,1,0,1,0,0
563,CSCCC(=O)O,"['savory', 'green', 'fruity']",120.024500496,3,0,0,0,0,0,1,1,0,1,0,0
568,C1=CC=C2C(=C1)C3=CC=CC=C3O2,['flower'],168.057514876,1,0,0,0,0,1,0,0,0,0,0,0
612,CC(C(=O)O)O,['savory'],90.031694052,1,0,0,0,0,0,0,0,0,1,0,0
650,CC(=O)C(=O)C,['savory'],86.036779432,1,0,0,0,0,0,0,0,0,1,0,0
660,C1CC(=O)OC2=CC=CC=C21,"['savory', 'spices', 'fruity', 'herbal']",148.052429496,4,0,0,0,0,0,1,0,1,1,1,0
670,C(C(=O)CO)O,"['fruity', 'herbal']",90.031694052,2,0,0,0,0,0,1,0,1,0,0,0
679,CS(=O)C,['savory'],78.013935812,1,0,0,0,0,0,0,0,0,1,0,0
701,CCOC(=O)C(C)C(=O)C,"['green', 'fruity', 'alcohol']",144.078644244,3,1,0,0,0,0,1,1,0,0,0,0
702,CCO,"['aquatic', 'alcohol']",46.041864812,2,1,0,1,0,0,0,0,0,0,0,0
768,C#N,['savory'],27.010899032,1,0,0,0,0,0,0,0,0,1,0,0
784,OO,['aquatic'],34.005479304,1,0,0,1,0,0,0,0,0,0,0,0
798,C1=CC=C2C(=C1)C=CN2,"['savory', 'animal', 'flower']",117.057849224,3,0,1,0,0,1,0,0,0,1,0,0
875,C(C(C(=O)O)O)(C(=O)O)O,['savory'],150.016437912,1,0,0,0,0,0,0,0,0,1,0,0
876,CSCCC(C(=O)O)N,['savory'],149.051049592,1,0,0,0,0,0,0,0,0,1,0,0
878,CS,['savory'],48.003371128,1,0,0,0,0,0,0,0,0,1,0,0
880,CC(=O)C=O,"['savory', 'aquatic', 'alcohol']",72.021129368,3,1,0,1,0,0,0,0,0,1,0,0
887,CO,"['aquatic', 'alcohol']",32.026214748,2,1,0,1,0,0,0,0,0,0,0,0
931,C1=CC=C2C=CC=CC2=C1,['herbal'],128.062600256,1,0,0,0,0,0,0,0,1,0,0,0
957,CCCCCCCCO,"['aquatic', 'fruity', 'savory', 'green', 'flower']",130.135765196,5,0,0,1,0,1,1,1,0,1,0,0
964,C(C(=O)C(=O)O)O,"['savory', 'green']",104.010958608,2,0,0,0,0,0,0,1,0,1,0,0
984,CCCCCCCCCCCCCCCC=O,"['flower', 'fruity']",240.245315644,2,0,0,0,0,1,1,0,0,0,0,0
985,CCCCCCCCCCCCCCCC(=O)O,['green'],256.240230264,1,0,0,0,0,0,0,1,0,0,0,0
989,CC1(COC(=O)C1O)C,['savory'],130.06299418,1,0,0,0,0,0,0,0,0,1,0,0
994,C1=CC=C(C=C1)CC(C(=O)O)N,['savory'],165.078978592,1,0,0,0,0,0,0,0,0,1,0,0
997,C1=CC=C(C=C1)CC(=O)C(=O)O,"['savory', 'green']",164.047344116,2,0,0,0,0,0,0,1,0,1,0,0
998,C1=CC=C(C=C1)CC=O,"['earthy', 'fruity', 'savory', 'green', 'flower']",120.057514876,5,0,0,0,1,1,1,1,0,1,0,0
999,C1=CC=C(C=C1)CC(=O)O,"['savory', 'animal', 'herbal', 'flower']",136.052429496,4,0,1,0,0,1,0,0,1,1,0,0
1031,CCCO,"['animal', 'savory', 'fruity', 'alcohol']",60.057514876,4,1,1,0,0,0,1,0,0,1,0,0
1032,CCC(=O)O,['savory'],74.036779432,1,0,0,0,0,0,0,0,0,1,0,0
1045,C(CCN)CN,['animal'],88.10004838399999,1,0,1,0,0,0,0,0,0,0,0,0
1049,C1=CC=NC=C1,['savory'],79.04219916,1,0,0,0,0,0,0,0,0,1,0,0
1060,CC(=O)C(=O)O,['savory'],88.016043988,1,0,0,0,0,0,0,0,0,1,0,0
1068,CSC,"['savory', 'green', 'fruity']",62.019021192,3,0,0,0,0,0,1,1,0,1,0,0
1103,C(CCNCCCN)CNCCCN,"['fruity', 'herbal']",202.215746832,2,0,0,0,0,0,1,0,1,0,0,0
1115,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,['savory'],342.11621152399994,1,0,0,0,0,0,0,0,0,1,0,0
1127,C1CCSC1,['savory'],88.034671256,1,0,0,0,0,0,0,0,0,1,0,0
1133,C(C(=O)O)S,['savory'],91.993200368,1,0,0,0,0,0,0,0,0,1,0,0
1136,CC1=C(SC=N1)CCO,['savory'],143.040484908,1,0,0,0,0,0,0,0,0,1,0,0
1146,CN(C)C,"['savory', 'fruity']",59.073499288,2,0,0,0,0,0,1,0,0,1,0,0
1183,COC1=C(C=CC(=C1)C=O)O,['savory'],152.047344116,1,0,0,0,0,0,0,0,0,1,0,0
1213,CC1CCCC2(C1(CCCC2)O)C,"['earthy', 'aquatic', 'fruity']",182.167065324,3,0,0,1,1,0,1,0,0,0,0,0
1254,CC1CCC(C(C1)O)C(C)C,"['aquatic', 'animal', 'herbal']",156.15141526,3,0,1,1,0,0,0,0,1,0,0,0
1567,C(CS)O,['savory'],78.013935812,1,0,0,0,0,0,0,0,0,1,0,0
2214,CC(=O)C1=CC(=C(C=C1)O)OC,['savory'],166.06299418,1,0,0,0,0,0,0,0,0,1,0,0
2345,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,"['fruity', 'herbal', 'flower']",212.083729624,3,0,0,0,0,1,1,0,1,0,0,0
2346,C1=CC=C(C=C1)CN=C=S,"['savory', 'green', 'herbal']",149.029920224,3,0,0,0,0,0,0,1,1,1,0,0
2537,CC1(C2CCC1(C(=O)C2)C)C,"['green', 'aquatic', 'herbal']",152.120115132,3,0,0,1,0,0,0,1,1,0,0,0
2682,CCCCCCCCCCCCCCCCO,"['fruity', 'flower']",242.260965708,2,0,0,0,0,1,1,0,0,0,0,0
2758,CC1(C2CCC(O1)(CC2)C)C,"['aquatic', 'herbal']",154.135765196,2,0,0,1,0,0,0,0,1,0,0,0
2879,CC1=CC=C(C=C1)O,"['animal', 'green', 'flower', 'savory']",108.057514876,4,0,1,0,0,1,0,1,0,1,0,0
2969,CCCCCCCCCC(=O)O,"['savory', 'fruity']",172.14632988,2,0,0,0,0,0,1,0,0,1,0,0
3080,C(C(CS)S)O,['savory'],124.001656876,1,0,0,0,0,0,0,0,0,1,0,0
3102,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,"['aquatic', 'flower', 'herbal']",182.07316494,3,0,0,1,0,1,0,0,1,0,0,0
3283,CCOCC,['aquatic'],74.07316494,1,0,0,1,0,0,0,0,0,0,0,0
3314,COC1=C(C=CC(=C1)CC=C)O,"['savory', 'spices', 'flower']",164.083729624,3,0,0,0,0,1,0,0,0,1,1,0
3327,CC(=CCCC(=CCCC(=CCO)C)C)C,"['green', 'aquatic', 'flower']",222.198365452,3,0,0,1,0,1,0,1,0,0,0,0
3338,CCCCC(C1=CC=CC=C1)O,"['green', 'fruity', 'herbal', 'flower']",164.120115132,4,0,0,0,0,1,1,1,1,0,0,0
3485,C(CC=O)CC=O,"['green', 'fruity']",100.052429496,2,0,0,0,0,0,1,1,0,0,0,0
3611,CC(C)C1=CC(=O)C(=CC=C1)O,['green'],164.083729624,1,0,0,0,0,0,0,1,0,0,0,0
3776,CC(C)O,"['aquatic', 'animal', 'alcohol']",60.057514876,3,1,1,1,0,0,0,0,0,0,0,0
3893,CCCCCCCCCCCC(=O)O,"['aquatic', 'flower', 'fruity']",200.177630008,3,0,0,1,0,1,1,0,0,0,0,0
4004,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,['savory'],330.036066958,1,0,0,0,0,0,0,0,0,1,0,0
4133,COC(=O)C1=CC=CC=C1O,"['earthy', 'fruity', 'herbal']",152.047344116,3,0,0,0,1,0,1,0,1,0,0,0
4458,CC(=CCCC(=CCO)C)C,['flower'],154.135765196,1,0,0,0,0,1,0,0,0,0,0,0
4650,C1=CC(=O)C=CC1=O,['savory'],108.021129368,1,0,0,0,0,0,0,0,0,1,0,0
4775,C1=CC=C(C=C1)CCCC(=O)O,"['savory', 'flower']",164.083729624,2,0,0,0,0,1,0,0,0,1,0,0
5054,C1=CC(=CC(=C1)O)O,"['animal', 'savory', 'fruity']",110.036779432,3,0,1,0,0,0,1,0,0,1,0,0
5144,C=CCC1=CC2=C(C=C1)OCO2,"['spices', 'flower']",162.06807956,2,0,0,0,0,1,0,0,0,0,1,0
5146,C1=CC=C(C(=C1)CO)O,['fruity'],124.052429496,1,0,0,0,0,0,1,0,0,0,0,0
5541,CC(=O)OCC(COC(=O)C)OC(=O)C,"['aquatic', 'savory', 'fruity']",218.079038168,3,0,0,1,0,0,1,0,0,1,0,0
5610,C1=CC(=CC=C1CCN)O,"['savory', 'fruity']",137.084063972,2,0,0,0,0,0,1,0,0,1,0,0
5634,C=CCCCCCCCCC(=O)O,"['savory', 'fruity']",184.14632988,2,0,0,0,0,0,1,0,0,1,0,0
5862,C([C@@H](C(=O)O)N)S,['savory'],121.019749464,1,0,0,0,0,0,0,0,0,1,0,0
5961,C(CC(=O)N)[C@@H](C(=O)O)N,['savory'],146.06914218,1,0,0,0,0,0,0,0,0,1,0,0
5971,C=CCN=C=S,['savory'],99.01427016,1,0,0,0,0,0,0,0,0,1,0,0
5988,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,['savory'],342.11621152399994,1,0,0,0,0,0,0,0,0,1,0,0
6027,C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,['savory'],150.05282342,1,0,0,0,0,0,0,0,0,1,0,0
6050,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,"['savory', 'fruity']",302.172938552,2,0,0,0,0,0,1,0,0,1,0,0
6054,C1=CC=C(C=C1)CCO,"['aquatic', 'earthy', 'green', 'savory', 'flower']",122.07316494,5,0,0,1,1,1,0,1,0,1,0,0
6137,CSCC[C@@H](C(=O)O)N,['savory'],149.051049592,1,0,0,0,0,0,0,0,0,1,0,0
6140,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,['savory'],165.078978592,1,0,0,0,0,0,0,0,0,1,0,0
6184,CCCCCC=O,"['savory', 'green', 'fruity', 'aquatic']",100.088815004,4,0,0,1,0,0,1,1,0,1,0,0
6213,CS(=O)(=O)C,['savory'],94.008850432,1,0,0,0,0,0,0,0,0,1,0,0
6255,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,"['savory', 'fruity']",342.11621152399994,2,0,0,0,0,0,1,0,0,1,0,0
